Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 13/06/2024
TIME       : 08:35:19
FILENAME   : C:\Users\User\AppData\Roaming\DiverOffice\Makandra project\CSV\ADEK_1_240613083519_ER234.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-ER234  219.
  Instrument number       =          UTC-3     
                          =0
  Location                =ADEK_1
  Sample period           =H01
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-ER234  219.
  Instrument number       =          UTC-3     
  Location                =ADEK_1
  Sample period           =00 01:00:00 0
  Sample method           =T   
  Start date / time       =00:00:13 02/11/23
  End date / time         =00:00:08 13/06/24
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Druk[cmH2O],Temperatuur[°C]
2023/11/02 13:00:00,1067.917,29.053
2023/11/02 14:00:00,1066.225,29.030
2023/11/02 15:00:00,1065.642,29.030
2023/11/02 16:00:00,1065.233,29.023
2023/11/02 17:00:00,1064.825,29.007
2023/11/02 18:00:00,1065.117,29.000
2023/11/02 19:00:00,1065.233,29.000
2023/11/02 20:00:00,1065.525,29.013
2023/11/02 21:00:00,1065.817,29.007
2023/11/02 22:00:00,1065.933,29.000
2023/11/02 23:00:00,1066.517,29.000
2023/11/03 00:00:00,1065.817,28.990
2023/11/03 01:00:00,1065.642,29.007
2023/11/03 02:00:00,1065.933,29.007
2023/11/03 03:00:00,1065.817,29.013
2023/11/03 04:00:00,1065.642,28.990
2023/11/03 05:00:00,1065.933,28.990
2023/11/03 06:00:00,1066.517,29.007
2023/11/03 07:00:00,1066.750,29.000
2023/11/03 08:00:00,1067.333,29.000
2023/11/03 09:00:00,1067.742,29.007
2023/11/03 10:00:00,1068.442,28.990
2023/11/03 11:00:00,1067.742,29.007
2023/11/03 12:00:00,1067.042,29.007
2023/11/03 13:00:00,1065.525,29.007
2023/11/03 14:00:00,1064.417,29.000
2023/11/03 15:00:00,1063.717,29.000
2023/11/03 16:00:00,1063.017,29.000
2023/11/03 17:00:00,1063.017,28.990
2023/11/03 18:00:00,1063.017,29.007
2023/11/03 19:00:00,1063.717,29.000
2023/11/03 20:00:00,1064.533,29.007
2023/11/03 21:00:00,1065.117,28.990
2023/11/03 22:00:00,1065.117,29.007
2023/11/03 23:00:00,1064.825,28.990
2023/11/04 00:00:00,1064.708,29.007
2023/11/04 01:00:00,1064.533,29.000
2023/11/04 02:00:00,1063.717,29.000
2023/11/04 03:00:00,1063.717,29.000
2023/11/04 04:00:00,1063.717,29.000
2023/11/04 05:00:00,1063.833,29.013
2023/11/04 06:00:00,1064.300,29.000
2023/11/04 07:00:00,1064.533,29.007
2023/11/04 08:00:00,1065.117,28.990
2023/11/04 09:00:00,1065.408,28.990
2023/11/04 10:00:00,1066.225,29.000
2023/11/04 11:00:00,1065.933,29.000
2023/11/04 12:00:00,1064.533,29.000
2023/11/04 13:00:00,1063.192,29.007
2023/11/04 14:00:00,1062.083,29.013
2023/11/04 15:00:00,1060.800,29.007
2023/11/04 16:00:00,1060.683,29.007
2023/11/04 17:00:00,1060.683,29.000
2023/11/04 18:00:00,1060.508,29.007
2023/11/04 19:00:00,1061.208,29.000
2023/11/04 20:00:00,1062.083,29.013
2023/11/04 21:00:00,1062.083,29.007
2023/11/04 22:00:00,1062.200,29.000
2023/11/04 23:00:00,1062.317,29.000
2023/11/05 00:00:00,1062.608,29.013
2023/11/05 01:00:00,1062.317,29.000
2023/11/05 02:00:00,1061.383,29.007
2023/11/05 03:00:00,1061.208,29.007
2023/11/05 04:00:00,1061.208,29.013
2023/11/05 05:00:00,1061.208,29.000
2023/11/05 06:00:00,1061.617,29.013
2023/11/05 07:00:00,1062.492,29.000
2023/11/05 08:00:00,1062.725,29.000
2023/11/05 09:00:00,1063.425,29.007
2023/11/05 10:00:00,1063.425,29.013
2023/11/05 11:00:00,1062.608,29.007
2023/11/05 12:00:00,1061.617,29.007
2023/11/05 13:00:00,1060.800,29.013
2023/11/05 14:00:00,1059.692,29.013
2023/11/05 15:00:00,1058.875,29.000
2023/11/05 16:00:00,1058.700,29.023
2023/11/05 17:00:00,1058.583,29.007
2023/11/05 18:00:00,1059.283,29.013
2023/11/05 19:00:00,1059.283,29.000
2023/11/05 20:00:00,1059.575,28.990
2023/11/05 21:00:00,1060.100,29.000
2023/11/05 22:00:00,1060.100,29.000
2023/11/05 23:00:00,1060.275,29.007
2023/11/06 00:00:00,1060.100,29.007
2023/11/06 01:00:00,1059.400,29.023
2023/11/06 02:00:00,1058.992,29.007
2023/11/06 03:00:00,1059.167,29.007
2023/11/06 04:00:00,1059.575,29.007
2023/11/06 05:00:00,1059.575,29.013
2023/11/06 06:00:00,1059.983,29.023
2023/11/06 07:00:00,1060.508,29.023
2023/11/06 08:00:00,1060.800,29.007
2023/11/06 09:00:00,1061.617,29.000
2023/11/06 10:00:00,1061.792,29.000
2023/11/06 11:00:00,1061.908,29.013
2023/11/06 12:00:00,1061.208,29.013
2023/11/06 13:00:00,1059.983,29.007
2023/11/06 14:00:00,1058.700,29.007
2023/11/06 15:00:00,1058.467,29.007
2023/11/06 16:00:00,1057.883,29.013
2023/11/06 17:00:00,1057.592,29.007
2023/11/06 18:00:00,1057.883,29.013
2023/11/06 19:00:00,1058.292,29.013
2023/11/06 20:00:00,1059.575,29.023
2023/11/06 21:00:00,1060.100,29.013
2023/11/06 22:00:00,1060.917,29.013
2023/11/06 23:00:00,1060.917,29.013
2023/11/07 00:00:00,1060.508,29.000
2023/11/07 01:00:00,1060.100,29.013
2023/11/07 02:00:00,1058.992,29.013
2023/11/07 03:00:00,1058.292,29.023
2023/11/07 04:00:00,1058.175,29.013
2023/11/07 05:00:00,1058.700,29.007
2023/11/07 06:00:00,1058.583,29.013
2023/11/07 07:00:00,1059.167,29.013
2023/11/07 08:00:00,1060.508,29.013
2023/11/07 09:00:00,1061.092,29.013
2023/11/07 10:00:00,1061.792,29.023
2023/11/07 11:00:00,1061.092,29.007
2023/11/07 12:00:00,1060.508,29.030
2023/11/07 13:00:00,1059.167,29.007
2023/11/07 14:00:00,1058.292,29.013
2023/11/07 15:00:00,1057.883,29.023
2023/11/07 16:00:00,1057.358,29.013
2023/11/07 17:00:00,1057.767,29.023
2023/11/07 18:00:00,1058.467,29.013
2023/11/07 19:00:00,1058.700,29.023
2023/11/07 20:00:00,1059.167,29.013
2023/11/07 21:00:00,1059.692,29.023
2023/11/07 22:00:00,1059.983,29.023
2023/11/07 23:00:00,1059.983,29.023
2023/11/08 00:00:00,1059.983,29.023
2023/11/08 01:00:00,1059.400,29.023
2023/11/08 02:00:00,1058.467,29.007
2023/11/08 03:00:00,1058.583,29.013
2023/11/08 04:00:00,1057.883,29.023
2023/11/08 05:00:00,1057.767,29.023
2023/11/08 06:00:00,1058.000,29.023
2023/11/08 07:00:00,1058.875,29.023
2023/11/08 08:00:00,1059.283,29.013
2023/11/08 09:00:00,1059.808,29.013
2023/11/08 10:00:00,1060.275,29.013
2023/11/08 11:00:00,1060.275,29.023
2023/11/08 12:00:00,1059.575,29.023
2023/11/08 13:00:00,1058.292,29.030
2023/11/08 14:00:00,1057.358,29.013
2023/11/08 15:00:00,1056.250,29.023
2023/11/08 16:00:00,1056.658,29.023
2023/11/08 17:00:00,1057.183,29.030
2023/11/08 18:00:00,1057.592,29.023
2023/11/08 19:00:00,1057.475,29.023
2023/11/08 20:00:00,1058.000,29.007
2023/11/08 21:00:00,1058.992,29.023
2023/11/08 22:00:00,1059.575,29.023
2023/11/08 23:00:00,1059.575,29.030
2023/11/09 00:00:00,1059.692,29.013
2023/11/09 01:00:00,1059.283,29.023
2023/11/09 02:00:00,1058.992,29.013
2023/11/09 03:00:00,1058.583,29.023
2023/11/09 04:00:00,1059.167,29.023
2023/11/09 05:00:00,1059.692,29.023
2023/11/09 06:00:00,1060.508,29.023
2023/11/09 07:00:00,1061.792,29.023
2023/11/09 08:00:00,1062.608,29.037
2023/11/09 09:00:00,1063.600,29.023
2023/11/09 10:00:00,1063.833,29.013
2023/11/09 11:00:00,1064.300,29.013
2023/11/09 12:00:00,1063.308,29.023
2023/11/09 13:00:00,1061.908,29.023
2023/11/09 14:00:00,1060.917,29.023
2023/11/09 15:00:00,1059.692,29.013
2023/11/09 16:00:00,1059.400,29.013
2023/11/09 17:00:00,1058.875,29.023
2023/11/09 18:00:00,1059.400,29.030
2023/11/09 19:00:00,1059.400,29.023
2023/11/09 20:00:00,1059.983,29.023
2023/11/09 21:00:00,1060.508,29.023
2023/11/09 22:00:00,1060.800,29.023
2023/11/09 23:00:00,1060.683,29.030
2023/11/10 00:00:00,1061.092,29.030
2023/11/10 01:00:00,1060.800,29.023
2023/11/10 02:00:00,1060.508,29.037
2023/11/10 03:00:00,1060.392,29.030
2023/11/10 04:00:00,1060.275,29.023
2023/11/10 05:00:00,1060.800,29.030
2023/11/10 06:00:00,1060.800,29.030
2023/11/10 07:00:00,1062.083,29.023
2023/11/10 08:00:00,1063.017,29.037
2023/11/10 09:00:00,1063.600,29.030
2023/11/10 10:00:00,1064.125,29.013
2023/11/10 11:00:00,1063.717,29.023
2023/11/10 12:00:00,1063.192,29.023
2023/11/10 13:00:00,1061.617,29.037
2023/11/10 14:00:00,1060.100,29.037
2023/11/10 15:00:00,1059.400,29.030
2023/11/10 16:00:00,1058.992,29.037
2023/11/10 17:00:00,1058.700,29.037
2023/11/10 18:00:00,1058.175,29.037
2023/11/10 19:00:00,1058.583,29.047
2023/11/10 20:00:00,1058.992,29.030
2023/11/10 21:00:00,1059.167,29.030
2023/11/10 22:00:00,1059.283,29.023
2023/11/10 23:00:00,1059.692,29.030
2023/11/11 00:00:00,1059.692,29.030
2023/11/11 01:00:00,1059.283,29.030
2023/11/11 02:00:00,1058.875,29.037
2023/11/11 03:00:00,1058.292,29.030
2023/11/11 04:00:00,1058.467,29.030
2023/11/11 05:00:00,1058.175,29.030
2023/11/11 06:00:00,1058.875,29.037
2023/11/11 07:00:00,1059.283,29.047
2023/11/11 08:00:00,1060.100,29.023
2023/11/11 09:00:00,1060.508,29.037
2023/11/11 10:00:00,1060.917,29.037
2023/11/11 11:00:00,1060.683,29.047
2023/11/11 12:00:00,1059.692,29.037
2023/11/11 13:00:00,1058.875,29.030
2023/11/11 14:00:00,1057.475,29.047
2023/11/11 15:00:00,1056.250,29.037
2023/11/11 16:00:00,1056.367,29.037
2023/11/11 17:00:00,1056.658,29.053
2023/11/11 18:00:00,1056.483,29.047
2023/11/11 19:00:00,1056.892,29.053
2023/11/11 20:00:00,1057.475,29.047
2023/11/11 21:00:00,1058.700,29.053
2023/11/11 22:00:00,1058.992,29.053
2023/11/11 23:00:00,1059.167,29.047
2023/11/12 00:00:00,1059.400,29.047
2023/11/12 01:00:00,1059.400,29.047
2023/11/12 02:00:00,1059.283,29.053
2023/11/12 03:00:00,1059.283,29.047
2023/11/12 04:00:00,1058.875,29.053
2023/11/12 05:00:00,1059.283,29.053
2023/11/12 06:00:00,1060.100,29.053
2023/11/12 07:00:00,1060.508,29.053
2023/11/12 08:00:00,1061.617,29.047
2023/11/12 09:00:00,1062.608,29.060
2023/11/12 10:00:00,1063.425,29.053
2023/11/12 11:00:00,1063.425,29.047
2023/11/12 12:00:00,1062.317,29.053
2023/11/12 13:00:00,1061.383,29.047
2023/11/12 14:00:00,1060.275,29.047
2023/11/12 15:00:00,1059.167,29.053
2023/11/12 16:00:00,1058.700,29.053
2023/11/12 17:00:00,1058.467,29.053
2023/11/12 18:00:00,1058.992,29.053
2023/11/12 19:00:00,1058.992,29.053
2023/11/12 20:00:00,1059.400,29.053
2023/11/12 21:00:00,1059.808,29.047
2023/11/12 22:00:00,1059.808,29.047
2023/11/12 23:00:00,1059.808,29.053
2023/11/13 00:00:00,1059.283,29.047
2023/11/13 01:00:00,1058.875,29.053
2023/11/13 02:00:00,1058.467,29.053
2023/11/13 03:00:00,1057.883,29.053
2023/11/13 04:00:00,1057.767,29.060
2023/11/13 05:00:00,1058.292,29.047
2023/11/13 06:00:00,1059.283,29.053
2023/11/13 07:00:00,1059.983,29.053
2023/11/13 08:00:00,1060.800,29.053
2023/11/13 09:00:00,1062.200,29.070
2023/11/13 10:00:00,1062.200,29.053
2023/11/13 11:00:00,1061.617,29.053
2023/11/13 12:00:00,1060.683,29.060
2023/11/13 13:00:00,1059.400,29.060
2023/11/13 14:00:00,1058.700,29.053
2023/11/13 15:00:00,1057.183,29.053
2023/11/13 16:00:00,1056.775,29.053
2023/11/13 17:00:00,1056.483,29.053
2023/11/13 18:00:00,1057.067,29.053
2023/11/13 19:00:00,1057.358,29.060
2023/11/13 20:00:00,1057.592,29.060
2023/11/13 21:00:00,1058.175,29.060
2023/11/13 22:00:00,1058.175,29.053
2023/11/13 23:00:00,1058.292,29.060
2023/11/14 00:00:00,1058.175,29.053
2023/11/14 01:00:00,1057.183,29.053
2023/11/14 02:00:00,1057.067,29.070
2023/11/14 03:00:00,1056.075,29.070
2023/11/14 04:00:00,1056.250,29.070
2023/11/14 05:00:00,1056.367,29.060
2023/11/14 06:00:00,1057.358,29.060
2023/11/14 07:00:00,1057.767,29.053
2023/11/14 08:00:00,1058.292,29.070
2023/11/14 09:00:00,1058.875,29.070
2023/11/14 10:00:00,1059.692,29.077
2023/11/14 11:00:00,1059.283,29.053
2023/11/14 12:00:00,1058.292,29.077
2023/11/14 13:00:00,1056.658,29.070
2023/11/14 14:00:00,1056.075,29.060
2023/11/14 15:00:00,1054.967,29.060
2023/11/14 16:00:00,1054.442,29.060
2023/11/14 17:00:00,1054.267,29.070
2023/11/14 18:00:00,1054.442,29.053
2023/11/14 19:00:00,1055.550,29.070
2023/11/14 20:00:00,1055.958,29.077
2023/11/14 21:00:00,1056.658,29.060
2023/11/14 22:00:00,1056.658,29.070
2023/11/14 23:00:00,1055.375,29.077
2023/11/15 00:00:00,1055.258,29.070
2023/11/15 01:00:00,1054.442,29.070
2023/11/15 02:00:00,1053.450,29.083
2023/11/15 03:00:00,1053.333,29.070
2023/11/15 04:00:00,1053.042,29.077
2023/11/15 05:00:00,1053.567,29.083
2023/11/15 06:00:00,1053.742,29.070
2023/11/15 07:00:00,1054.558,29.070
2023/11/15 08:00:00,1055.375,29.077
2023/11/15 09:00:00,1056.483,29.070
2023/11/15 10:00:00,1056.658,29.077
2023/11/15 11:00:00,1056.658,29.077
2023/11/15 12:00:00,1056.075,29.077
2023/11/15 13:00:00,1054.967,29.060
2023/11/15 14:00:00,1053.450,29.083
2023/11/15 15:00:00,1052.342,29.077
2023/11/15 16:00:00,1051.933,29.077
2023/11/15 17:00:00,1051.933,29.070
2023/11/15 18:00:00,1052.342,29.077
2023/11/15 19:00:00,1053.158,29.083
2023/11/15 20:00:00,1053.567,29.070
2023/11/15 21:00:00,1054.267,29.077
2023/11/15 22:00:00,1054.558,29.070
2023/11/15 23:00:00,1055.083,29.083
2023/11/16 00:00:00,1055.083,29.083
2023/11/16 01:00:00,1054.558,29.077
2023/11/16 02:00:00,1053.567,29.060
2023/11/16 03:00:00,1053.333,29.077
2023/11/16 04:00:00,1053.158,29.083
2023/11/16 05:00:00,1053.158,29.083
2023/11/16 06:00:00,1053.567,29.077
2023/11/16 07:00:00,1055.083,29.083
2023/11/16 08:00:00,1055.958,29.070
2023/11/16 09:00:00,1056.250,29.077
2023/11/16 10:00:00,1056.775,29.077
2023/11/16 11:00:00,1056.658,29.083
2023/11/16 12:00:00,1056.250,29.077
2023/11/16 13:00:00,1055.667,29.077
2023/11/16 14:00:00,1071.767,29.333
2023/11/16 15:00:00,1104.550,29.560
2023/11/16 16:00:00,1101.925,29.537
2023/11/16 17:00:00,1079.583,29.460
2023/11/16 18:00:00,1062.200,29.287
2023/11/16 19:00:00,1059.575,29.203
2023/11/16 20:00:00,1061.383,29.180
2023/11/16 21:00:00,1062.200,29.147
2023/11/16 22:00:00,1063.192,29.130
2023/11/16 23:00:00,1063.717,29.130
2023/11/17 00:00:00,1063.833,29.117
2023/11/17 01:00:00,1064.417,29.117
2023/11/17 02:00:00,1064.533,29.117
2023/11/17 03:00:00,1064.533,29.117
2023/11/17 04:00:00,1065.117,29.117
2023/11/17 05:00:00,1065.817,29.107
2023/11/17 06:00:00,1066.517,29.100
2023/11/17 07:00:00,1067.625,29.117
2023/11/17 08:00:00,1069.025,29.100
2023/11/17 09:00:00,1070.367,29.093
2023/11/17 10:00:00,1070.950,29.083
2023/11/17 11:00:00,1074.858,29.117
2023/11/17 12:00:00,1117.208,29.350
2023/11/17 13:00:00,1093.583,29.367
2023/11/17 14:00:00,1118.025,29.320
2023/11/17 15:00:00,1106.067,29.343
2023/11/17 16:00:00,1077.192,29.263
2023/11/17 17:00:00,1072.875,29.187
2023/11/17 18:00:00,1073.575,29.163
2023/11/17 19:00:00,1074.158,29.147
2023/11/17 20:00:00,1074.975,29.140
2023/11/17 21:00:00,1075.500,29.123
2023/11/17 22:00:00,1075.967,29.117
2023/11/17 23:00:00,1076.492,29.117
2023/11/18 00:00:00,1076.900,29.117
2023/11/18 01:00:00,1076.900,29.107
2023/11/18 02:00:00,1076.375,29.117
2023/11/18 03:00:00,1076.667,29.107
2023/11/18 04:00:00,1077.075,29.117
2023/11/18 05:00:00,1077.775,29.117
2023/11/18 06:00:00,1078.592,29.093
2023/11/18 07:00:00,1079.000,29.107
2023/11/18 08:00:00,1080.108,29.093
2023/11/18 09:00:00,1081.100,29.117
2023/11/18 10:00:00,1081.333,29.100
2023/11/18 11:00:00,1081.800,29.100
2023/11/18 12:00:00,1081.217,29.100
2023/11/18 13:00:00,1080.692,29.100
2023/11/18 14:00:00,1079.992,29.093
2023/11/18 15:00:00,1079.408,29.093
2023/11/18 16:00:00,1078.883,29.107
2023/11/18 17:00:00,1079.700,29.100
2023/11/18 18:00:00,1079.992,29.093
2023/11/18 19:00:00,1080.517,29.100
2023/11/18 20:00:00,1080.692,29.093
2023/11/18 21:00:00,1081.100,29.107
2023/11/18 22:00:00,1082.033,29.093
2023/11/18 23:00:00,1082.033,29.107
2023/11/19 00:00:00,1081.333,29.083
2023/11/19 01:00:00,1082.033,29.083
2023/11/19 02:00:00,1081.333,29.093
2023/11/19 03:00:00,1081.625,29.093
2023/11/19 04:00:00,1081.625,29.093
2023/11/19 05:00:00,1081.800,29.100
2023/11/19 06:00:00,1082.500,29.083
2023/11/19 07:00:00,1083.608,29.083
2023/11/19 08:00:00,1084.017,29.083
2023/11/19 09:00:00,1085.125,29.117
2023/11/19 10:00:00,1085.125,29.083
2023/11/19 11:00:00,1085.242,29.093
2023/11/19 12:00:00,1084.717,29.093
2023/11/19 13:00:00,1083.725,29.083
2023/11/19 14:00:00,1082.908,29.093
2023/11/19 15:00:00,1082.617,29.107
2023/11/19 16:00:00,1082.208,29.093
2023/11/19 17:00:00,1082.033,29.093
2023/11/19 18:00:00,1081.917,29.093
2023/11/19 19:00:00,1082.033,29.100
2023/11/19 20:00:00,1082.733,29.100
2023/11/19 21:00:00,1083.317,29.083
2023/11/19 22:00:00,1083.142,29.083
2023/11/19 23:00:00,1083.608,29.093
2023/11/20 00:00:00,1083.433,29.083
2023/11/20 01:00:00,1082.908,29.083
2023/11/20 02:00:00,1082.617,29.100
2023/11/20 03:00:00,1082.208,29.093
2023/11/20 04:00:00,1082.500,29.083
2023/11/20 05:00:00,1082.500,29.100
2023/11/20 06:00:00,1082.908,29.083
2023/11/20 07:00:00,1083.142,29.107
2023/11/20 08:00:00,1083.842,29.093
2023/11/20 09:00:00,1084.717,29.093
2023/11/20 10:00:00,1084.425,29.083
2023/11/20 11:00:00,1084.542,29.083
2023/11/20 12:00:00,1083.725,29.093
2023/11/20 13:00:00,1082.617,29.083
2023/11/20 14:00:00,1081.800,29.083
2023/11/20 15:00:00,1081.217,29.083
2023/11/20 16:00:00,1080.808,29.093
2023/11/20 17:00:00,1080.692,29.083
2023/11/20 18:00:00,1080.808,29.100
2023/11/20 19:00:00,1080.808,29.083
2023/11/20 20:00:00,1081.625,29.093
2023/11/20 21:00:00,1081.917,29.093
2023/11/20 22:00:00,1082.325,29.083
2023/11/20 23:00:00,1082.208,29.100
2023/11/21 00:00:00,1082.500,29.083
2023/11/21 01:00:00,1081.917,29.070
2023/11/21 02:00:00,1082.208,29.083
2023/11/21 03:00:00,1081.917,29.093
2023/11/21 04:00:00,1081.917,29.083
2023/11/21 05:00:00,1082.325,29.093
2023/11/21 06:00:00,1082.733,29.083
2023/11/21 07:00:00,1083.142,29.093
2023/11/21 08:00:00,1084.133,29.093
2023/11/21 09:00:00,1084.717,29.083
2023/11/21 10:00:00,1084.717,29.093
2023/11/21 11:00:00,1084.425,29.093
2023/11/21 12:00:00,1083.433,29.083
2023/11/21 13:00:00,1082.500,29.083
2023/11/21 14:00:00,1081.217,29.093
2023/11/21 15:00:00,1080.517,29.083
2023/11/21 16:00:00,1080.108,29.093
2023/11/21 17:00:00,1079.817,29.083
2023/11/21 18:00:00,1079.583,29.077
2023/11/21 19:00:00,1079.992,29.083
2023/11/21 20:00:00,1080.517,29.093
2023/11/21 21:00:00,1081.217,29.083
2023/11/21 22:00:00,1081.217,29.083
2023/11/21 23:00:00,1081.625,29.083
2023/11/22 00:00:00,1081.800,29.083
2023/11/22 01:00:00,1081.625,29.077
2023/11/22 02:00:00,1081.508,29.083
