Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 13/06/2024
TIME       : 08:42:59
FILENAME   : C:\Users\User\AppData\Roaming\DiverOffice\Makandra project\CSV\ADEK_BARO_240613084259_EP936.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =BB00-EP936  219.
  Instrument number       =          UTC-3     
                          =0
  Location                =ADEK_BARO
  Sample period           =H01
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =BB00-EP936  219.
  Instrument number       =          UTC-3     
  Location                =ADEK_BARO
  Sample period           =00 01:00:00 0
  Sample method           =T   
  Start date / time       =00:00:13 02/11/23
  End date / time         =00:00:08 13/06/24
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =750.000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Druk[cmH2O],Temperatuur[°C]
2023/11/02 13:00:00,1029.625,27.760
2023/11/02 14:00:00,1028.625,28.470
2023/11/02 15:00:00,1027.850,29.110
2023/11/02 16:00:00,1027.775,29.573
2023/11/02 17:00:00,1027.850,29.900
2023/11/02 18:00:00,1028.350,30.110
2023/11/02 19:00:00,1028.925,30.213
2023/11/02 20:00:00,1029.425,30.243
2023/11/02 21:00:00,1030.000,30.230
2023/11/02 22:00:00,1030.125,30.203
2023/11/02 23:00:00,1030.350,30.167
2023/11/03 00:00:00,1030.275,30.127
2023/11/03 01:00:00,1030.125,30.073
2023/11/03 02:00:00,1030.050,30.033
2023/11/03 03:00:00,1030.000,29.980
2023/11/03 04:00:00,1029.775,29.923
2023/11/03 05:00:00,1030.050,29.853
2023/11/03 06:00:00,1030.275,29.783
2023/11/03 07:00:00,1031.000,29.737
2023/11/03 08:00:00,1031.500,29.697
2023/11/03 09:00:00,1031.775,29.737
2023/11/03 10:00:00,1032.150,29.823
2023/11/03 11:00:00,1032.075,29.930
2023/11/03 12:00:00,1031.000,30.050
2023/11/03 13:00:00,1030.000,30.190
2023/11/03 14:00:00,1028.850,30.353
2023/11/03 15:00:00,1028.200,30.503
2023/11/03 16:00:00,1028.125,30.627
2023/11/03 17:00:00,1028.400,30.697
2023/11/03 18:00:00,1028.625,30.730
2023/11/03 19:00:00,1029.425,30.697
