Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 29/05/2024
TIME       : 11:54:59
FILENAME   : C:\Users\User\AppData\Roaming\DiverOffice\Makandra project\CSV\VEI_EX651_240529115459_EX651.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-EX651  219.
  Instrument number       =          UTC-3     
                          =0
  Location                =VEI_EX651
  Sample period           =H01
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-EX651  219.
  Instrument number       =          UTC-3     
  Location                =VEI_EX651
  Sample period           =00 01:00:00 0
  Sample method           =T   
  Start date / time       =19:16:18 11/04/24
  End date / time         =19:16:11 29/05/24
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Druk[cmH2O],Temperatuur[°C]
2024/04/11 18:16:19,1029.417,30.890
2024/04/11 19:16:19,1049.308,29.653
2024/04/11 20:16:19,1050.300,29.630
2024/04/11 21:16:19,1051.175,29.647
2024/04/11 22:16:19,1051.875,29.647
2024/04/11 23:16:19,1095.450,26.943
2024/04/12 00:16:19,1099.242,27.257
2024/04/12 01:16:19,1107.350,26.983
2024/04/12 02:16:19,1119.133,26.607
2024/04/12 03:16:19,1129.633,26.320
2024/04/12 04:16:19,1132.783,26.327
2024/04/12 05:16:19,1136.167,26.350
2024/04/12 06:16:19,1139.317,26.413
2024/04/12 07:16:19,1140.717,26.430
2024/04/12 08:16:19,1141.592,26.477
2024/04/12 09:16:19,1143.108,26.477
2024/04/12 10:16:19,1143.867,26.630
2024/04/12 11:16:19,1143.283,26.750
2024/04/12 12:16:19,1142.992,26.833
2024/04/12 13:16:19,1142.292,26.867
2024/04/12 14:16:19,1141.417,26.983
2024/04/12 15:16:19,1140.308,27.013
2024/04/12 16:16:19,1139.842,27.153
2024/04/12 17:16:19,1139.142,27.263
2024/04/12 18:16:19,1139.842,27.343
2024/04/12 19:16:19,1140.717,27.560
2024/04/12 20:16:19,1141.125,27.670
2024/04/12 21:16:19,1142.000,27.773
2024/04/12 22:16:19,1142.875,27.820
2024/04/12 23:16:19,1142.875,27.750
2024/04/13 00:16:19,1142.408,27.710
