Date/Time(America/Paramaribo);Water_level_diver(mm)
13-4-2024 00:00;284.08
13-4-2024 01:00;289.83
13-4-2024 02:00;305.58
13-4-2024 03:00;308.58
13-4-2024 04:00;312.08
13-4-2024 05:00;319.25
13-4-2024 06:00;322.17
13-4-2024 07:00;323.83
13-4-2024 08:00;321.5
13-4-2024 09:00;323.5
13-4-2024 10:00;318.42
13-4-2024 11:00;318.92
13-4-2024 12:00;320.33
13-4-2024 13:00;316.92
13-4-2024 14:00;318.17
13-4-2024 15:00;313.58
13-4-2024 16:00;310.17
13-4-2024 17:00;316.58
13-4-2024 18:00;313.5
13-4-2024 19:00;320.08
13-4-2024 20:00;313.25
13-4-2024 21:00;317.92
13-4-2024 22:00;315.75
13-4-2024 23:00;306.92
14-4-2024 00:00;308
14-4-2024 01:00;304.08
14-4-2024 02:00;306.83
14-4-2024 03:00;307.17
14-4-2024 04:00;307.75
14-4-2024 05:00;307.5
14-4-2024 06:00;308.58
14-4-2024 07:00;308.75
14-4-2024 08:00;306.33
14-4-2024 09:00;305
14-4-2024 10:00;302
14-4-2024 11:00;300.67
14-4-2024 12:00;301
14-4-2024 13:00;297.25
14-4-2024 14:00;300
14-4-2024 15:00;300.92
14-4-2024 16:00;298.75
14-4-2024 17:00;314.17
14-4-2024 18:00;333
14-4-2024 19:00;344.75
14-4-2024 20:00;342.25
14-4-2024 21:00;345.42
14-4-2024 22:00;345.5
14-4-2024 23:00;347.17
15-4-2024 00:00;348.92
15-4-2024 01:00;344.75
15-4-2024 02:00;348.33
15-4-2024 03:00;347
15-4-2024 04:00;345.5
15-4-2024 05:00;354.58
15-4-2024 06:00;348.83
15-4-2024 07:00;351.33
15-4-2024 08:00;348.75
15-4-2024 09:00;350.08
15-4-2024 10:00;346.08
15-4-2024 11:00;344.25
15-4-2024 12:00;345.25
15-4-2024 13:00;339.92
15-4-2024 14:00;340.42
15-4-2024 15:00;341.42
15-4-2024 16:00;335.33
15-4-2024 17:00;339.25
15-4-2024 18:00;336.83
15-4-2024 19:00;336.5
15-4-2024 20:00;334.25
15-4-2024 21:00;338
15-4-2024 22:00;338.58
15-4-2024 23:00;337.17
16-4-2024 00:00;330.25
16-4-2024 01:00;332.75
16-4-2024 02:00;331
16-4-2024 03:00;330.08
16-4-2024 04:00;331.08
16-4-2024 05:00;338.92
16-4-2024 06:00;338.58
16-4-2024 07:00;333.58
16-4-2024 08:00;331.83
16-4-2024 09:00;333.67
16-4-2024 10:00;329.25
16-4-2024 11:00;326
16-4-2024 12:00;324
16-4-2024 13:00;332
16-4-2024 14:00;322.58
16-4-2024 15:00;322.92
16-4-2024 16:00;320.25
16-4-2024 17:00;325.42
16-4-2024 18:00;328
16-4-2024 19:00;325.33
16-4-2024 20:00;321.5
