id,title,greenroof_type_measure,Ain_def,pr_meas_area,cp_meas_area,op_meas_area,up_meas_area,uz_meas_area,gw_meas_area,swds_meas_area,mss_meas_area,ow_meas_area,pr_meas_inflow_area,cp_meas_inflow_area,op_meas_inflow_area,up_meas_inflow_area,ow_meas_inflow_area,num_stor_lvl,runoff_to_stor_layer,EV_evaporation,ET_transpiration,IN_infiltration,SD_delay,FD_pumping,surf_runoff_meas_OW,ctrl_runoff_meas_OW,overflow_meas_OW,surf_runoff_meas_UZ,ctrl_runoff_meas_UZ,overflow_meas_UZ,surf_runoff_meas_GW,ctrl_runoff_meas_GW,overflow_meas_GW,surf_runoff_meas_SWDS,ctrl_runoff_meas_SWDS,overflow_meas_SWDS,surf_runoff_meas_MSS,ctrl_runoff_meas_MSS,overflow_meas_MSS,surf_runoff_meas_Out,ctrl_runoff_meas_Out,overflow_meas_Out,storcap_int_meas,infilcap_int_meas,intstor_meas_t0,storcap_top_meas,infilcap_top_meas,stor_top_meas_t0,storcap_btm_meas,connection_to_gw,limited_by_gwl,btm_level_meas,btm_meas_transpiration,btm_discharge_type,runoffcap_btm_meas,runoffcap_meas_soil_inherit,runoffcap_stor_dependent,runoffcap_stor_factor,dischlvl_btm_meas,c_btm_meas,stor_btm_meas_t0,evaporation_factor_meas
4,Urban wetland,FALSE,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1.00E+11,0,0,0,0,1000,0,0,0,1,1,0,0,0,0,0,2,0,1
6,Bioswale,FALSE,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,2000,0,100,2000,0,1000,1,0,0,1,1,0,0,0,0,0,2,0,0.8982
10,Deep groundwater infiltration,FALSE,5000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1.00E+11,0,0,0,0,1000,0,0,0,0,0,0,0,1,15.7,0,0,0,1
11,Ditches,FALSE,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.00E+11,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,1
12,Intensive green roofs,TRUE,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,5,600,0,0,0,0,1000,0,0,0,1,0,0,0,0,0,0,2,0,0.8982
15,Extensive green roofs,TRUE,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,5,5760,0,1000,5760,0,5,0,0,0,1,0,5760,0,0,0,0,2,0,0.8982
16,Green roofs,TRUE,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,5,5760,0,1000,5760,0,5,0,0,0,1,0,5760,0,0,0,0,2,0,0.8982
20,Drainage/Infiltration/Transport (DIT) drains,FALSE,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1000000,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,0,1
22,Infiltration fields and strips with surface storage,FALSE,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1000000,0,0,0,0,1000,1,0,0,1,0,0,1,0,0,0,2,0,0.8982
23,Infiltration trench,FALSE,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5760,0,0,0,0,1000,1,0,0,1,1,0,0,0,0,0,2,0,1
